md5_from,md5_to,MW_forward,MW_reverse
db6bb71046588ae507769512b153877b,a037e398cd3cba1f8cc695243fd0b475,1439.6,1334.1
f4736d2045b334cc746fa0838f667558,dfb7ed5634eedad7683248a52b05238f,724.9,372.0
db6bb71046588ae507769512b153877b,ea0e293ed86ef9e84f338977818d217b,146.6,144.1
6dcecce2bf925ad09dd36d34a68b1f3e,8b16b8589a919b5ac2a8e967f5840851,1020.0,1722.4
f4736d2045b334cc746fa0838f667558,619c1be4c89a19705bf8e782db74d127,860.9,741.2
c2569ac3e0e7d08fa48c5a41a8cf3386,441271fa01294c9c0dd096b2f320bae9,1295.0,2873.0
f4736d2045b334cc746fa0838f667558,f95164989b1010c59e4a64bd7bd6f192,500.0,500.0
500d6a0d4f9d23ff8fb47b4178577eaa,e9fd61aae466af5c81165444b0ec1149,1124.0,1030.0
c2569ac3e0e7d08fa48c5a41a8cf3386,8f3fafdec035b1e90015ae6071184f54,364.7,510.5
ea0e293ed86ef9e84f338977818d217b,3880aa9b7b692dc69f78610944837e08,2824.4,3565.5
8bb4fb487323fd17e6ebc62985b328af,4da38aec984d2f54d9c94ac5e0c52c4f,2277.1,4917.2
44d960540028642474acfd25467e7a96,420e9f98c829e36511b29c4f3d3174fe,1071.1,1088.5
8bb4fb487323fd17e6ebc62985b328af,95f010dcc44da9cb878c408bfd8e2c56,526.9,806.0
c2569ac3e0e7d08fa48c5a41a8cf3386,cab1458966f921cea50d07b202d49c99,4123.3,3531.6
c2569ac3e0e7d08fa48c5a41a8cf3386,619c1be4c89a19705bf8e782db74d127,6343.9,5949.6
16f6598b8413c2691f729ba63964007d,0c03add16b1ced2262e7d738a50e7c80,366.2,144.6
16f6598b8413c2691f729ba63964007d,223606f488621a5b46d3b064f5c4ce83,325.2,252.3
c2569ac3e0e7d08fa48c5a41a8cf3386,f4736d2045b334cc746fa0838f667558,6.0,2.2
c9358d780569bcaad2c3c8d081af186b,16f6598b8413c2691f729ba63964007d,6.7,0.0
c9358d780569bcaad2c3c8d081af186b,dfb7ed5634eedad7683248a52b05238f,1875.4,1618.0
c9358d780569bcaad2c3c8d081af186b,ae401e91c59522060b39dc28b850fad3,350.2,349.5
95f010dcc44da9cb878c408bfd8e2c56,99076f48936f656075dee0ad0473cfe2,2458.6,2423.8
f4736d2045b334cc746fa0838f667558,994fefc868e3509d8573dd277dfff656,351.6,306.8
619c1be4c89a19705bf8e782db74d127,8f3fafdec035b1e90015ae6071184f54,494.4,2268.9
c2569ac3e0e7d08fa48c5a41a8cf3386,994fefc868e3509d8573dd277dfff656,3707.9,6947.0
aedcebc1529b01e8bf77393c81406931,dcb08f45f5327ad0a33a15d5c66f4111,1839.0,2255.6
e29b0ce7815148548561f1e505388a87,dcb08f45f5327ad0a33a15d5c66f4111,176.7,480.9
e596d14d3a13498a8c5c5092244ab966,8c308893367eaff56253401f7bf278d7,6832.8,4131.9
619c1be4c89a19705bf8e782db74d127,f95164989b1010c59e4a64bd7bd6f192,701.8,692.5
