start,end,polarity,voltage,cost_MUSD,length_miles
7eb2b0aefbff81ff68ee482597a991be,8ca1065364605c9895d3dad6f9841910,ac,138,89.46,49.92
857fb8d4be011c80adabd3672214301a,f0342a4f9b0d5ab5ecc0870e115cd9e3,ac,138,20.34,11.35
a00f38907afdb9560bb22f35b24f1fe4,857fb8d4be011c80adabd3672214301a,ac,138,30.37,16.95
586406bbb76b6baac45c43a81ec2e35c,c1160f0432464eb6110ada4a0ac56917,ac,138,38.24,21.34
c872b22bc2ece6de7deafc6b5982b960,5796f99c5d3c7bac8c90cc042869a7ea,ac,138,65.5,36.55
6ec00eeb639d309bafaeb0a3ea24fb3c,f45441ae6bc4a14109990b452feea703,ac,138,41.54,23.18
6705d77f2d837e528fb0edd21579e9c0,c872b22bc2ece6de7deafc6b5982b960,ac,138,45.64,25.47
6705d77f2d837e528fb0edd21579e9c0,5796f99c5d3c7bac8c90cc042869a7ea,ac,138,45.98,25.66
6ec00eeb639d309bafaeb0a3ea24fb3c,60dfc9f44b250ed03992a2a1b39a30c1,ac,138,65.98,36.82
f5cfb8cbfcd2fdd60665099993430d6b,91dc09d6e1de84f060b7b565135e2365,ac,138,46.02,25.68
cd0e9d013a5bb2fce93b3e4c26877d6b,e31003304da364867f1dce3be564fb7a,ac,138,149.69,83.53
498b71407ed107b5a3f83951be5b4df4,c06debb249d4e75425c7f2c2c9e96a5c,ac,138,46.05,25.7
7b57dd3faa86c70f672b4168c996a251,c36214df5bdf67eaf55e6620f468b0ec,ac,138,155.69,86.88
5796f99c5d3c7bac8c90cc042869a7ea,91dc09d6e1de84f060b7b565135e2365,ac,138,64.28,35.87
a1ac769a261b4ac11e1fd4fd33b2ae8b,cd0e9d013a5bb2fce93b3e4c26877d6b,ac,138,102.95,57.45
498b71407ed107b5a3f83951be5b4df4,a3577dabfbc7a0e6685b1a3b68a0ac84,ac,138,61.21,34.16
2631f2f74cfaf1f994552c0316f5e220,6ce64974339716970bc8d1b81e97c6ea,ac,138,47.6,26.56
8db1625bead0f643f7f7913edc2a8434,d7cbbc7d02fca8a32ac5a3b5161ee19c,ac,138,29.41,16.41
27c8efa32c0738c9d83b37d1882d97ea,0ee538bb20ea7c803d4033366d8da20b,ac,138,57.08,31.85
