md5_from,md5_to,MW_forward,MW_reverse,source
1c21b0912f1088c26479be9299203f2b,59aeb10ef68deeb91a09195d122d76d8,110.967,0.0,uprate
2ea3ff45d620f62b6669490c57394f3c,4a716f7ba05468f225127f29aa2040c5,58.044,0.0,uprate
2ea3ff45d620f62b6669490c57394f3c,c334d1fb8d3157de3a0ebf8683060878,3.44,0.0,newlink
be84663149780a7ca5a112689df4dc7a,96d266834024baec8b64b960391c31e5,19.442,0.0,uprate
e585c2ea8a6ff12e60c1c3e07d024079,663ad9fa2aa6c2af4e1d8915e2c6fd9a,55.551,0.0,uprate
e585c2ea8a6ff12e60c1c3e07d024079,77557109d117fbb70757f8f00d6ed5e4,56.771,0.0,uprate
8569aad08bd79e68d8a5d2b2ee505408,0c78cd98d2fc75ace15e352273e4fd8a,0.0,121.995,uprate
8569aad08bd79e68d8a5d2b2ee505408,8108e7580d35a6df529b4cd78137c5aa,13.319,0.0,uprate
393418aa6851c719aac2d2d6216f5159,6d81df16fca504b6fb9280b11d2b0ae0,35.456,0.0,uprate
a11b84b38879d751f48fa321120f0c55,211fa07fbd5ca833b4cfd48c462138a9,0.0,27.787,uprate
366971226c73b87ab69e87918b9338a5,caf5dd77448c8a7214415ff71e11c103,57.524,0.0,uprate
bc7386076e4bf0bd4c58874726403e1e,b7644abae9d51f072401f013b5d42d53,0.0,26.354,newlink
f8531013695084f6fd79ed6d8e24b2d6,4a716f7ba05468f225127f29aa2040c5,0.0,56.998,uprate
c9cb01d4b65b151ac87d80ce4da3db1b,46e6d0f07b047818edf84360acd315c7,0.0,10.626,uprate
23b766e49fad4b4f985175948e10e201,6060d12ec4413d29a17e7584783c23be,0.0,38.743,newlink
007203e95299b072b3a5e6f1f3d4c725,c766cb374fd37fb59517aac231dafc81,0.0,20.753,uprate
21445b7069345a1a850ee2daacfd5d8e,211fa07fbd5ca833b4cfd48c462138a9,4.7,0.0,uprate
738c875d02a61f56eb30127ae50d0c88,af9370965df770606185339c69f1b751,0.0,0.985,uprate
1441762ea1630bc0605fdcef3984e996,a624873c42ee905ecc113ce243187740,4.751,0.0,uprate
edcb4ffdaa57a1bfa3fecb75aec6e53b,28fd3872c62aad371e8b21061f1a35bd,0.0,22.72,uprate
8d725eb1826fee2e7d5f852a1d63d14f,f097e1436435f978e0b8f404c8b848d3,49.876,0.0,uprate
cef5524641d35342a138832d05ffe4e9,bf6fa64a2e79b2800523f3a06745f5a3,74.184,0.0,uprate
